employee_id,task_id,Task Description,Category,required_skills,employee_skills,skill_match_score,complexity_level,availability,past_performance,suitability_score
E96680,T79172,Automate tests,testing,"['css', 'pandas', 'jira', 'ARIMA']","['oracle', 'tableau']",0.0,3,0.6484445249283494,0.42268944939392583,-0.010007058643117711
E97518,T3184,Migrate services to Azure,cloud,"['docker', 'kafka', 'big data', 'figma', 'matplotlib', 'power bi', 'selenium']","['prometheus', 'css']",0.0,3,0.7312732890888515,0.7308919100710018,0.3714890301626596
E55691,T49070,Automate tests,testing,"['hibernate', 'oracle', 'terraform', 'numpy']",['mongodb'],0.0,2,0.7210625580866626,0.39523761938460655,0.28427493895969347
E17402,T51035,Perform load testing,testing,"['pandas', 'rest api', 'linux', 'react']","['css', 'numpy']",0.0,2,0.7682844746867551,0.44723262583378154,0.14100445585832908
E92590,T75042,Monitor production systems,devops,"['sap', 'jenkins', 'oracle', 'matplotlib', 'tableau']","['kubernetes', 'spark']",0.0,3,0.7650816837996199,0.47521459109995023,0.3209103718668384
E68328,T87218,Optimize cloud costs,cloud,"['aws', 'grafana', 'java', 'react', 'sap', 'vue', 'azure']",['html'],0.0,2,0.8174437754441373,0.4643650043579425,0.14937275411336898
E42494,T32549,Design UI,frontend,"['docker', 'tableau', 'wordpress', 'aws', 'linux', 'selenium']","['salesforce', 'sap']",0.0,2,0.5379335840647936,0.3840675375229674,0.15146671203013315
E64909,T60728,Train NLP models,ai/ml,"['scikit-learn', 'rest api', 'oracle', 'pytest', 'kafka', 'bash']",['selenium'],0.0,2,0.6722212005768479,0.6244557671103881,0.593847684824458
E30697,T57065,Analyze customer churn,data science,"['vue', 'wordpress', 'pytest', 'IsolationForest', 'ARIMA', 'spring']","['IsolationForest', 'numpy']",0.14285714285714285,3,0.6913168317924399,0.5559803311247457,0.757584545453792
E98088,T38931,Automate tests,testing,"['mysql', 'css', 'django', 'oracle']","['ARIMA', 'aws']",0.0,3,0.7580893311449424,0.5683412300275346,0.009036257686828308
E67838,T56958,Optimize frontend performance,frontend,"['postgresql', 'xgboost', 'tensorflow', 'pytorch', 'oracle', 'flask', 'angular']","['power bi', 'aws']",0.0,2,0.710940181695619,0.7034279072487359,0.3706600300599171
E29059,T79943,Automate tests,testing,"['flask', 'oracle', 'scikit-learn', 'tableau', 'ARIMA', 'jenkins']","['hibernate', 'salesforce', 'spark']",0.0,3,0.6573470641850825,0.3871875333139315,0.35548953306127096
E75067,T62132,Optimize cloud costs,cloud,"['spring', 'python', 'IsolationForest', 'pytorch', 'mongodb', 'kubernetes', 'terraform']",['css'],0.0,3,0.7151570737420069,0.5081274742997195,0.15182179553091874
E12427,T15299,Set up CI/CD pipeline,devops,"['oracle', 'scikit-learn', 'node.js', 'pytest', 'gcp', 'hibernate']","['gcp', 'azure', 'html']",0.125,3,0.6821048455978866,0.44979520952937446,0.2435420110373549
E81198,T13283,Optimize frontend performance,frontend,"['pytorch', 'prometheus', 'css', 'gcp', 'grafana', 'jenkins', 'mongodb']",['git'],0.0,2,0.7478319164529962,0.7404203984309119,0.62878040161554
E96947,T26622,Optimize frontend performance,frontend,"['python', 'terraform', 'salesforce', 'transformer', 'LSTM']","['wordpress', 'tensorflow']",0.0,3,0.8558992254700619,0.48485792571386754,0.16579348244257125
